ID,STATE,FIRE_YEAR,FIRE_COUNT,FIRE_AREA,NUM_BURNED_ACRES_PER_10K_ACRE
0,Alabama,1992,68,1247.6,0.41
1,Alabama,1993,106,2328.1,0.77
2,Alabama,1994,2722,34462.5,11.34
3,Alabama,1995,3223,38618.20000000003,12.71
4,Alabama,1996,3130,47426.19999999999,15.61
5,Alabama,1997,1931,21881.0,7.2
6,Alabama,1998,2747,35325.39999999995,11.63
7,Alabama,1999,3399,52258.49999999998,17.2
8,Alabama,2000,4858,87872.7999999999,28.92
9,Alabama,2001,2622,38902.79999999997,12.8
10,Alabama,2002,2371,38535.09999999997,12.68
11,Alabama,2003,1424,20663.600000000002,6.8
12,Alabama,2004,2497,46727.39999999997,15.38
13,Alabama,2005,2126,43083.099999999955,14.18
14,Alabama,2006,3327,79368.29999999994,26.12
15,Alabama,2007,3091,56573.900000000016,18.62
16,Alabama,2008,1613,23185.500000000004,7.63
17,Alabama,2009,1139,24865.9,8.18
18,Alabama,2010,2401,41943.59999999997,13.8
19,Alabama,2011,1707,54000.79999999999,17.77
20,Alabama,2012,1180,28877.3,9.5
21,Alabama,2013,1093,29849.6,9.82
22,Alabama,2014,1534,37823.999999999985,12.45
23,Alabama,2015,1335,30703.3,10.1
24,Alaska,1992,158,142664.49999999994,4.17
25,Alaska,1993,308,687102.7000000002,20.07
26,Alaska,1994,231,261901.2,7.65
27,Alaska,1995,120,43915.2,1.28
28,Alaska,1996,229,598719.3000000002,17.49
29,Alaska,1997,283,2026135.2000000002,59.18
30,Alaska,1998,97,120738.20000000003,3.53
31,Alaska,1999,193,1005797.7999999998,29.38
32,Alaska,2000,122,756341.9999999999,22.09
33,Alaska,2001,92,219880.30000000002,6.42
34,Alaska,2002,213,2186591.3000000003,63.86
35,Alaska,2003,149,601625.0000000002,17.57
36,Alaska,2004,309,6591812.399999997,192.53
37,Alaska,2005,345,4635851.299999999,135.4
38,Alaska,2006,94,254483.10000000003,7.43
39,Alaska,2007,256,634421.7999999996,18.53
40,Alaska,2008,134,92444.20000000006,2.7
41,Alaska,2009,216,2949543.7000000007,86.15
42,Alaska,2010,345,1137478.3,33.22
43,Alaska,2011,155,292953.49999999994,8.56
44,Alaska,2012,175,300550.8999999999,8.78
45,Alaska,2013,228,1320703.4,38.57
46,Alaska,2014,98,233561.4,6.82
47,Alaska,2015,433,5136656.199999999,150.03
48,Arizona,1992,1243,42210.299999999996,6.19
49,Arizona,1993,2177,205077.8000000001,30.09
50,Arizona,1994,1582,223665.00000000015,32.82
51,Arizona,1995,1895,261658.4,38.39
52,Arizona,1996,993,186950.49999999988,27.43
53,Arizona,1997,492,13069.900000000001,1.92
54,Arizona,1998,808,27032.600000000002,3.97
55,Arizona,1999,713,73477.50000000001,10.78
56,Arizona,2000,957,92440.59999999999,13.56
57,Arizona,2001,838,35404.399999999994,5.19
58,Arizona,2002,757,629355.2,92.34
59,Arizona,2003,579,199649.30000000005,29.29
60,Arizona,2004,645,229272.70000000004,33.64
61,Arizona,2005,1465,902462.8000000004,132.41
62,Arizona,2006,981,181150.00000000006,26.58
63,Arizona,2007,543,114876.20000000001,16.85
64,Arizona,2008,470,113668.90000000007,16.68
65,Arizona,2009,741,221798.59999999992,32.54
66,Arizona,2010,387,87527.50000000001,12.84
