ID,STATE,FIRE_YEAR,FIRE_COUNT,FIRES_PER_10K_ACRE
0,Alabama,1992,68,0.02237799058808043
1,Alabama,1993,106,0.03488333826965479
2,Alabama,1994,2722,0.8957777997169842
3,Alabama,1995,3223,1.0606509362556358
4,Alabama,1996,3130,1.0300457432454668
5,Alabama,1997,1931,0.6354691150821076
6,Alabama,1998,2747,0.9040050021390725
7,Alabama,1999,3399,1.118570441307138
8,Alabama,2000,4858,1.5987099746602165
9,Alabama,2001,2622,0.8628689900286307
10,Alabama,2002,2371,0.7802678777108633
11,Alabama,2003,1424,0.4686214499621549
12,Alabama,2004,2497,0.8217329779181888
13,Alabama,2005,2126,0.699641293974397
14,Alabama,2006,3327,1.0948760983315233
15,Alabama,2007,3091,1.017211307467009
16,Alabama,2008,1613,0.530819100273143
17,Alabama,2009,1139,0.37483134235034715
18,Alabama,2010,2401,0.7901405206173693
19,Alabama,2011,1707,0.5617533813801955
20,Alabama,2012,1180,0.38832395432257216
21,Alabama,2013,1093,0.3596932898937046
22,Alabama,2014,1534,0.5048211406193438
23,Alabama,2015,1335,0.4393326093395202
24,Alaska,1992,158,0.004614693534697531
25,Alaska,1993,308,0.008995731700549615
26,Alaska,1994,231,0.006746798775412212
27,Alaska,1995,120,0.0035048305326816683
28,Alaska,1996,229,0.006688384933200851
29,Alaska,1997,283,0.008265558672907602
30,Alaska,1998,97,0.002833071347251015
31,Alaska,1999,193,0.0056369357733963505
32,Alaska,2000,122,0.00356324437489303
33,Alaska,2001,92,0.0026870367417226124
34,Alaska,2002,213,0.006221074195509962
35,Alaska,2003,149,0.004351831244746405
36,Alaska,2004,309,0.009024938621655296
37,Alaska,2005,345,0.010076387781459797
38,Alaska,2006,94,0.0027454505839339736
39,Alaska,2007,256,0.007476971803054226
40,Alaska,2008,134,0.003913727428161197
41,Alaska,2009,216,0.006308694958827003
42,Alaska,2010,345,0.010076387781459797
43,Alaska,2011,155,0.004527072771380488
44,Alaska,2012,175,0.0051112111934941
45,Alaska,2013,228,0.00665917801209517
46,Alaska,2014,98,0.002862278268356696
47,Alaska,2015,433,0.012646596838759688
48,Arizona,1992,1243,0.18237465593840052
49,Arizona,1993,2177,0.3194124102798857
50,Arizona,1994,1582,0.2321131984670552
51,Arizona,1995,1895,0.2780369855215358
52,Arizona,1996,993,0.14569431484057258
53,Arizona,1997,492,0.07218691128052539
54,Arizona,1998,808,0.11855086242817989
55,Arizona,1999,713,0.10461233281100528
56,Arizona,2000,957,0.14041234572248534
57,Arizona,2001,838,0.12295250335991924
58,Arizona,2002,757,0.11106807284422299
59,Arizona,2003,579,0.08495166998256949
60,Arizona,2004,645,0.09463528003239607
61,Arizona,2005,1465,0.21494679883327172
62,Arizona,2006,981,0.14393365846787684
63,Arizona,2007,543,0.07966970086448229
64,Arizona,2008,470,0.06895904126391653
65,Arizona,2009,741,0.10872053101396201
66,Arizona,2010,387,0.056781168019437646
67,Arizona,2011,584,0.08568527680452606
68,Arizona,2012,555,0.08143035723717802
69,Arizona,2013,430,0.06309018668826405
70,Arizona,2014,410,0.06015575940043782
71,Arizona,2015,401,0.05883526712091601
72,Arkansas,1992,94,0.030107940168476347
73,Arkansas,1993,100,0.03202972358348547
74,Arkansas,1994,107,0.03427180423432946
75,Arkansas,1995,165,0.05284904391275103
76,Arkansas,1996,164,0.05252874667691618
77,Arkansas,1997,998,0.319656641363185
78,Arkansas,1998,1103,0.3532878511258448
79,Arkansas,1999,2166,0.6937638128182954
80,Arkansas,2000,2301,0.7370039396560009
81,Arkansas,2001,1230,0.39396560007687137
82,Arkansas,2002,961,0.30780564363729546
83,Arkansas,2003,1636,0.5240062778258224
84,Arkansas,2004,1325,0.42439383748118253
85,Arkansas,2005,2259,0.7235514557509368
86,Arkansas,2006,2512,0.8045866564171551
87,Arkansas,2007,1268,0.4061368950385958
88,Arkansas,2008,860,0.2754556228179751
89,Arkansas,2009,1064,0.3407962589282854
90,Arkansas,2010,2194,0.7027321354216712
91,Arkansas,2011,2371,0.7594247461644406
92,Arkansas,2012,2183,0.699208865827488
93,Arkansas,2013,815,0.2610422472054066
94,Arkansas,2014,1263,0.4045354088594216
95,Arkansas,2015,1246,0.399090355850229
96,California,1992,3383,0.36194437846778665
97,California,1993,3139,0.3358390198079758
98,California,1994,3029,0.32407021057609386
99,California,1995,2665,0.28512615093604826
100,California,1996,3498,0.374248133573845
101,California,1997,2611,0.2793487354949426
102,California,1998,2167,0.2318455418680738
103,California,1999,2888,0.308984736924318
104,California,2000,2169,0.23205952021774434
105,California,2001,2510,0.2685428288365783
106,California,2002,2383,0.25495520363249646
107,California,2003,2574,0.2753901360260369
108,California,2004,2413,0.2581648788775552
109,California,2005,2381,0.2547412252828259
110,California,2006,3030,0.32417719975092923
111,California,2007,4278,0.4576996899453713
112,California,2008,3989,0.42677981841797247
113,California,2009,2929,0.3133712930925649
114,California,2010,2446,0.26169552164711973
115,California,2011,3402,0.36397717278965713
116,California,2012,2779,0.29732291686727136
117,California,2013,3108,0.33252235538808184
118,California,2014,1913,0.2046702914599101
119,California,2015,2027,0.21686705739113316
120,Colorado,1992,246,0.03955925204067849
121,Colorado,1993,268,0.04309707132886925
122,Colorado,1994,683,0.10983320790155857
123,Colorado,1995,398,0.06400236712272372
124,Colorado,1996,299,0.048082180325865316
125,Colorado,1997,105,0.016885046602728625
126,Colorado,1998,181,0.029106604143751248
127,Colorado,1999,178,0.02862417424081614
128,Colorado,2000,356,0.05724834848163228
129,Colorado,2001,220,0.03537819288190759
130,Colorado,2002,273,0.043901121167094416
131,Colorado,2003,453,0.07284691534320063
132,Colorado,2004,204,0.03280523339958704
133,Colorado,2005,462,0.07429420505200594
134,Colorado,2006,263,0.04229302149064408
135,Colorado,2007,180,0.028945794176106213
136,Colorado,2008,253,0.04068492181419373
137,Colorado,2009,171,0.0274985044673009
138,Colorado,2010,539,0.0866765725606736
139,Colorado,2011,175,0.02814174433788104
140,Colorado,2012,253,0.04068492181419373
141,Colorado,2013,431,0.06930909605500987
142,Colorado,2014,77,0.012382367508667658
143,Colorado,2015,95,0.015276946926278278
144,Connecticut,1992,50,0.17210519069255129
145,Connecticut,1993,65,0.22373674790031667
146,Connecticut,1994,94,0.3235577585019964
147,Connecticut,1995,74,0.25471568222497587
148,Connecticut,1996,15,0.05163155720776539
149,Connecticut,1997,38,0.13079994492633898
150,Connecticut,1998,27,0.0929368029739777
151,Connecticut,1999,156,0.53696819496076
152,Connecticut,2000,48,0.16522098306484923
153,Connecticut,2001,94,0.3235577585019964
154,Connecticut,2002,43,0.14801046399559412
155,Connecticut,2003,25,0.08605259534627564
156,Connecticut,2004,19,0.06539997246316949
157,Connecticut,2005,74,0.25471568222497587
158,Connecticut,2006,89,0.3063472394327413
159,Connecticut,2007,72,0.24783147459727384
160,Connecticut,2008,103,0.3545366928266556
161,Connecticut,2009,72,0.24783147459727384
162,Connecticut,2010,129,0.4440313919867823
163,Connecticut,2011,47,0.1617788792509982
164,Connecticut,2012,84,0.2891367203634862
165,Connecticut,2015,119,0.40961035384827205
166,Delaware,1992,3,0.025654181631605953
167,Delaware,1993,1,0.008551393877201984
168,Delaware,1994,2,0.017102787754403968
169,Delaware,1995,2,0.017102787754403968
170,Delaware,1997,4,0.034205575508807935
171,Delaware,1999,2,0.017102787754403968
172,Delaware,2000,1,0.008551393877201984
173,Delaware,2001,1,0.008551393877201984
174,Delaware,2002,9,0.07696254489481785
175,Delaware,2003,6,0.051308363263211906
176,Delaware,2004,11,0.09406533264922183
177,Delaware,2005,4,0.034205575508807935
178,Delaware,2010,1,0.008551393877201984
179,Delaware,2012,11,0.09406533264922183
180,Delaware,2013,5,0.04275696938600992
181,Delaware,2014,3,0.025654181631605953
182,Delaware,2015,12,0.10261672652642381
183,District of Columbia,1993,4,1.092896174863388
