STATE,FIRE_YEAR,FIRE_COUNT
AK,1992,481
AK,1993,861
AK,1994,640
AK,1995,418
AK,1996,718
AK,1997,721
AK,1998,408
AK,1999,482
AK,2000,364
AK,2001,361
AK,2002,538
AK,2003,478
AK,2004,694
AK,2005,619
AK,2006,301
AK,2007,513
AK,2008,369
AK,2009,513
AK,2010,691
AK,2011,508
AK,2012,409
AK,2013,592
AK,2014,393
AK,2015,771
AL,1992,93
AL,1993,137
AL,1994,3452
AL,1995,4230
AL,1996,4048
AL,1997,2591
AL,1998,3566
AL,1999,4501
AL,2000,6264
AL,2001,3309
AL,2002,2926
AL,2003,1824
AL,2004,3054
AL,2005,2547
AL,2006,3947
AL,2007,3833
AL,2008,2012
AL,2009,1372
AL,2010,2913
AL,2011,2042
AL,2012,1747
AL,2013,1670
AL,2014,2418
AL,2015,2074
AR,1992,128
AR,1993,151
AR,1994,167
AR,1995,240
AR,1996,224
AR,1997,1040
AR,1998,1156
AR,1999,2224
AR,2000,2363
AR,2001,1266
AR,2002,1001
AR,2003,1664
AR,2004,1364
AR,2005,2296
AR,2006,2571
AR,2007,1301
AR,2008,883
AR,2009,1076
AR,2010,2220
AR,2011,2546
AR,2012,2351
AR,2013,847
AR,2014,1295
AR,2015,1289
AZ,1992,3494
AZ,1993,4639
AZ,1994,4519
AZ,1995,4502
AZ,1996,3761
AZ,1997,2250
AZ,1998,2679
AZ,1999,2736
AZ,2000,3859
AZ,2001,3186
AZ,2002,2918
AZ,2003,2916
AZ,2004,2843
AZ,2005,3690
AZ,2006,3319
AZ,2007,2443
AZ,2008,1898
AZ,2009,2333
AZ,2010,1617
AZ,2011,1912
AZ,2012,1760
AZ,2013,1665
AZ,2014,2828
AZ,2015,3819
CA,1992,10833
CA,1993,8270
CA,1994,8654
CA,1995,7381
CA,1996,9173
CA,1997,7930
CA,1998,6864
CA,1999,8910
CA,2000,6977
CA,2001,8182
CA,2002,7133
CA,2003,7913
CA,2004,7418
CA,2005,6678
CA,2006,8271
CA,2007,10151
CA,2008,7744
CA,2009,6940
CA,2010,5776
CA,2011,8562
CA,2012,7208
CA,2013,8723
CA,2014,6494
CA,2015,7365
CO,1992,1322
CO,1993,1244
CO,1994,2515
CO,1995,1517
CO,1996,1405
CO,1997,722
CO,1998,765
CO,1999,756
CO,2000,1619
CO,2001,1266
CO,2002,1221
CO,2003,2422
CO,2004,1310
CO,2005,1875
CO,2006,1316
CO,2007,1070
CO,2008,1015
CO,2009,952
CO,2010,2694
CO,2011,957
CO,2012,1106
CO,2013,3894
CO,2014,603
CO,2015,591
CT,1992,202
CT,1993,103
CT,1994,290
CT,1995,110
CT,1996,27
CT,1997,83
CT,1998,30
CT,1999,297
CT,2000,126
CT,2001,207
CT,2002,107
CT,2003,95
CT,2004,87
CT,2005,293
CT,2006,372
CT,2007,331
CT,2008,366
CT,2009,257
CT,2010,418
CT,2011,227
CT,2012,576
CT,2015,372
DC,1992,3
DC,1993,7
DC,1994,4
DC,1995,5
DC,1997,3
DC,1998,13
DC,1999,8
DC,2001,1
DC,2002,1
DC,2005,2
DC,2006,3
DC,2007,1
DC,2008,1
DC,2009,1
DC,2010,1
DC,2011,2
DC,2012,5
DC,2013,1
DC,2014,1
DC,2015,3
DE,1992,3
DE,1993,1
DE,1994,2
DE,1995,5
DE,1997,5
DE,1999,2
DE,2000,1
DE,2001,1
DE,2002,39
DE,2003,21
DE,2004,27
DE,2005,14
DE,2007,2
DE,2010,1
DE,2012,19
DE,2013,9
DE,2014,3
DE,2015,16
FL,1992,4222
FL,1993,4548
FL,1994,3530
FL,1995,3186
FL,1996,4697
FL,1997,3912
FL,1998,4813
FL,1999,5484
FL,2000,6499
FL,2001,4887
FL,2002,3131
FL,2003,2150
FL,2004,3618
FL,2005,2395
FL,2006,5115
FL,2007,4589
FL,2008,3105
FL,2009,3016
FL,2010,2373
FL,2011,5029
FL,2012,3107
FL,2013,2163
FL,2014,2144
FL,2015,2548
GA,1992,6459
GA,1993,9111
GA,1994,6584
GA,1995,7968
GA,1996,9872
GA,1997,7234
GA,1998,7301
GA,1999,11138
