STATE,FIRE_YEAR,FIRE_COUNT
Alaska,1992,481
Alaska,1993,861
Alaska,1994,640
Alaska,1995,418
Alaska,1996,718
Alaska,1997,721
Alaska,1998,408
Alaska,1999,482
Alaska,2000,364
Alaska,2001,361
Alaska,2002,538
Alaska,2003,478
Alaska,2004,694
Alaska,2005,619
Alaska,2006,301
Alaska,2007,513
Alaska,2008,369
Alaska,2009,513
Alaska,2010,691
Alaska,2011,508
Alaska,2012,409
Alaska,2013,592
Alaska,2014,393
Alaska,2015,771
Alabama,1992,93
Alabama,1993,137
Alabama,1994,3452
Alabama,1995,4230
Alabama,1996,4048
Alabama,1997,2591
Alabama,1998,3566
Alabama,1999,4501
Alabama,2000,6264
Alabama,2001,3309
Alabama,2002,2926
Alabama,2003,1824
Alabama,2004,3054
Alabama,2005,2547
Alabama,2006,3947
Alabama,2007,3833
Alabama,2008,2012
Alabama,2009,1372
Alabama,2010,2913
Alabama,2011,2042
Alabama,2012,1747
Alabama,2013,1670
Alabama,2014,2418
Alabama,2015,2074
Arkansas,1992,128
Arkansas,1993,151
Arkansas,1994,167
Arkansas,1995,240
Arkansas,1996,224
Arkansas,1997,1040
Arkansas,1998,1156
Arkansas,1999,2224
Arkansas,2000,2363
Arkansas,2001,1266
Arkansas,2002,1001
Arkansas,2003,1664
Arkansas,2004,1364
Arkansas,2005,2296
Arkansas,2006,2571
Arkansas,2007,1301
Arkansas,2008,883
Arkansas,2009,1076
Arkansas,2010,2220
Arkansas,2011,2546
Arkansas,2012,2351
Arkansas,2013,847
Arkansas,2014,1295
Arkansas,2015,1289
Arizona,1992,3494
Arizona,1993,4639
Arizona,1994,4519
Arizona,1995,4502
Arizona,1996,3761
Arizona,1997,2250
Arizona,1998,2679
Arizona,1999,2736
Arizona,2000,3859
Arizona,2001,3186
Arizona,2002,2918
Arizona,2003,2916
Arizona,2004,2843
Arizona,2005,3690
Arizona,2006,3319
Arizona,2007,2443
Arizona,2008,1898
Arizona,2009,2333
Arizona,2010,1617
Arizona,2011,1912
Arizona,2012,1760
Arizona,2013,1665
Arizona,2014,2828
